captured_datetime,match_datetime,game,player,market,type,line,best_price,bookie,qi,bet_size,final_stat,bucket,stat,pred,gap,support,win,profit,stake
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Ned Long,Tackles Over,Over,7.5,2.30,SportsBet,53.6,$30,9,Tackles,Tackles,7.45,-0.04999999999999982,Wheelo neutral,True,38.99999999999999,30.0
2026-03-06 07:50:18,2026-03-07 19:35:00,Brisbane Lions v Western Bulldogs,Marcus Bontempelli,Tackles Over,Over,7.5,2.50,SportsBet,53.3,$25,5,Tackles,Tackles,4.8934999999999995,-2.6065000000000005,Wheelo strong against,False,-25.0,25.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Mark Blicavs,Tackles Over,Over,3.5,1.55,TAB,53.2,$45,2,Tackles,Tackles,3.2735000000000003,-0.2264999999999997,Wheelo neutral,False,-45.0,45.0
2026-03-06 07:50:18,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Clayton Oliver,Tackles Over,Over,5.5,1.55,Unibet,53.2,$45,4,Tackles,Tackles,3.98,-1.52,Wheelo strong against,False,-45.0,45.0
2026-03-06 07:50:18,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Lachlan Ash,Tackles Over,Over,1.5,1.56,Unibet,53.2,$45,1,Tackles,Tackles,,,No Wheelo match,False,-45.0,45.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Lachlan Schultz,Tackles Over,Over,3.5,1.56,SportsBet,53.2,$45,4,Tackles,Tackles,,,No Wheelo match,True,25.200000000000003,45.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Lawson Humphries,Tackles Over,Over,1.5,1.59,SportsBet,53.1,$40,5,Tackles,Tackles,2.2935,0.7934999999999999,Wheelo lean support,True,23.6,40.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Jack Carroll,Tackles Over,Over,1.5,1.59,SportsBet,53.1,$40,2,Tackles,Tackles,0.9521428571428572,-0.5478571428571428,Wheelo lean against,True,23.6,40.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Zeke Uwland,Tackles Over,Over,5.5,1.62,TAB,53.1,$40,1,Tackles,Tackles,0.333,-5.167,Wheelo strong against,False,-40.0,40.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Tanner Bruhn,Marks Over,Over,5.5,1.62,SportsBet,53.1,$40,5,Marks,Marks,3.667,-1.8330000000000002,Wheelo strong against,False,-40.0,40.0
